,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,wGl_DyNxSv8KUtYgiuLhmA,bi-rite-creamery-san-francisco,Bi-Rite Creamery,https://s3-media3.fl.yelpcdn.com/bphoto/c5-w8mU45PHJZveEz_wZ6Q/o.jpg,False,https://www.yelp.com/biz/bi-rite-creamery-san-francisco?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wceNtCMGBM6dgMGWxZsXyQ,9911,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.5,"{'latitude': 37.761591, 'longitude': -122.425717}",['delivery'],$$,"{'address1': '3692 18th St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3692 18th St', 'San Francisco, CA 94110']}",+14156265600,(415) 626-5600,946.3867385272524
1,lJAGnYzku5zSaLnQ_T6_GQ,brendas-french-soul-food-san-francisco-6,Brenda's French Soul Food,https://s3-media4.fl.yelpcdn.com/bphoto/VJ865E7ULQWSNjKhNG57VQ/o.jpg,False,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco-6?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wceNtCMGBM6dgMGWxZsXyQ,11721,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]",4.0,"{'latitude': 37.7829016035273, 'longitude': -122.419043442957}",['delivery'],$$,"{'address1': '652 Polk St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['652 Polk St', 'San Francisco, CA 94102']}",+14153458100,(415) 345-8100,2885.38913097158
2,WavvLdfdP6g8aZTtbBQHTw,gary-danko-san-francisco,Gary Danko,https://s3-media3.fl.yelpcdn.com/bphoto/eyYUz3Xl7NtcJeN7x7SQwg/o.jpg,False,https://www.yelp.com/biz/gary-danko-san-francisco?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wceNtCMGBM6dgMGWxZsXyQ,5748,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 37.80587, 'longitude': -122.42058}",[],$$$$,"{'address1': '800 N Point St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['800 N Point St', 'San Francisco, CA 94109']}",+14157492060,(415) 749-2060,5191.341803207417
3,ri7UUYmx21AgSpRsf4-9QA,tartine-bakery-san-francisco-3,Tartine Bakery,https://s3-media4.fl.yelpcdn.com/bphoto/QRbC0TQ2zxTKXHt5NfpFCw/o.jpg,False,https://www.yelp.com/biz/tartine-bakery-san-francisco-3?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wceNtCMGBM6dgMGWxZsXyQ,8530,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,"{'latitude': 37.76131, 'longitude': -122.42431}",['delivery'],$$,"{'address1': '600 Guerrero St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['600 Guerrero St', 'San Francisco, CA 94110']}",+14154872600,(415) 487-2600,1087.6389326055803
4,76smcUUGRvq3k1MVPUXbnA,mitchells-ice-cream-san-francisco,Mitchells Ice Cream,https://s3-media2.fl.yelpcdn.com/bphoto/f4lzrsfJLSd4CW1-LWmO2w/o.jpg,False,https://www.yelp.com/biz/mitchells-ice-cream-san-francisco?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wceNtCMGBM6dgMGWxZsXyQ,4530,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'customcakes', 'title': 'Custom Cakes'}]",4.5,"{'latitude': 37.744221, 'longitude': -122.422791}","['pickup', 'delivery']",$,"{'address1': '688 San Jose Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['688 San Jose Ave', 'San Francisco, CA 94110']}",+14156482300,(415) 648-2300,2209.2604244994063
5,Xg-FyjVKAN70LO4u4Z1ozg,hog-island-oyster-san-francisco-2,Hog Island Oyster,https://s3-media4.fl.yelpcdn.com/bphoto/Kozd3NJMSaT6S3J2kYAc1g/o.jpg,False,https://www.yelp.com/biz/hog-island-oyster-san-francisco-2?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wceNtCMGBM6dgMGWxZsXyQ,6659,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]",4.5,"{'latitude': 37.795831, 'longitude': -122.393303}",['pickup'],$$,"{'address1': '1 Ferry Bldg', 'address2': '', 'address3': 'Shop 11', 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['1 Ferry Bldg', 'Shop 11', 'San Francisco, CA 94111']}",+14153917117,(415) 391-7117,5428.15670676801
6,oT08T3Vpn1I7jDmrBBRMTw,house-of-prime-rib-san-francisco,House of Prime Rib,https://s3-media4.fl.yelpcdn.com/bphoto/HLrjaMoAgYSac0vx71YpCA/o.jpg,False,https://www.yelp.com/biz/house-of-prime-rib-san-francisco?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wceNtCMGBM6dgMGWxZsXyQ,8131,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"{'latitude': 37.79338, 'longitude': -122.4225}",[],$$$,"{'address1': '1906 Van Ness Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['1906 Van Ness Ave', 'San Francisco, CA 94109']}",+14158854605,(415) 885-4605,3827.4799374720046
7,f-m7-hyFzkf0HSEeQ2s-9A,fog-harbor-fish-house-san-francisco-2,Fog Harbor Fish House,https://s3-media2.fl.yelpcdn.com/bphoto/by8Hh63BLPv_HUqRUdsp_w/o.jpg,False,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wceNtCMGBM6dgMGWxZsXyQ,8277,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 37.80898821475503, 'longitude': -122.41029651587517}",['restaurant_reservation'],$$,"{'address1': '39 Pier', 'address2': 'Ste a - 202', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['39 Pier', 'Ste a - 202', 'San Francisco, CA 94133']}",+14159692010,(415) 969-2010,5820.143221179387
8,eYXwVR4mMAjzkJnm5wneHQ,burma-superstar-san-francisco-2,Burma Superstar,https://s3-media4.fl.yelpcdn.com/bphoto/Rt-zOS-uNY0cafsq1UeoDw/o.jpg,False,https://www.yelp.com/biz/burma-superstar-san-francisco-2?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wceNtCMGBM6dgMGWxZsXyQ,7256,"[{'alias': 'burmese', 'title': 'Burmese'}]",4.0,"{'latitude': 37.782787322998, 'longitude': -122.462539672852}","['pickup', 'delivery']",$$,"{'address1': '309 Clement St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['309 Clement St', 'San Francisco, CA 94118']}",+14153872147,(415) 387-2147,3348.056372269087
9,2XQm-uFcTS7oc8MFP-8olA,b-patisserie-san-francisco-2,B Patisserie,https://s3-media4.fl.yelpcdn.com/bphoto/bSlfEG1tlBtL6_n2_gIxjg/o.jpg,False,https://www.yelp.com/biz/b-patisserie-san-francisco-2?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wceNtCMGBM6dgMGWxZsXyQ,3105,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}, {'alias': 'macarons', 'title': 'Macarons'}]",4.5,"{'latitude': 37.787873, 'longitude': -122.440882}",['delivery'],$$,"{'address1': '2821 California St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['2821 California St', 'San Francisco, CA 94115']}",+14154401700,(415) 440-1700,3024.692512860378
