,id,url,text,rating,time_created,user,polarity,lemma_text
0,d9min1nLES_aJv-aEoLilQ,https://www.yelp.com/biz/bi-rite-creamery-san-francisco?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&hrid=d9min1nLES_aJv-aEoLilQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wceNtCMGBM6dgMGWxZsXyQ,"Hands down my favorite ice cream spot in San Francisco and perhaps ever. The flavors are diverse and all very good, whether they are more traditional or...",5,2022-09-05 15:24:19,"{'id': 'SXJmAdpip5_vFFHPj7lwJQ', 'profile_url': 'https://www.yelp.com/user_details?userid=SXJmAdpip5_vFFHPj7lwJQ', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/SkvBdRREtpEO84LbW_NCxw/o.jpg', 'name': 'Chang L.'}",0.1903,hand favorite ice cream spot San Francisco flavor diverse good traditional
1,yowp01_Ji6bnU5_OhRgxjA,https://www.yelp.com/biz/bi-rite-creamery-san-francisco?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&hrid=yowp01_Ji6bnU5_OhRgxjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wceNtCMGBM6dgMGWxZsXyQ,"Really unique flavors -- I LOVED the ritual coffee toffee flavor, which had a strong coffee flavor with a nutty taste and really delicious toffee bits...",4,2022-10-02 11:17:03,"{'id': 'Jl1z3Wylzhb25XejTxPHtQ', 'profile_url': 'https://www.yelp.com/user_details?userid=Jl1z3Wylzhb25XejTxPHtQ', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/tTsFHUeF5nNEZqigne8TFQ/o.jpg', 'name': 'Jenny Z.'}",0.22935,unique flavor love ritual coffee toffee flavor strong coffee flavor nutty taste delicious toffee bit
2,ljntTVjfL2BQPaiLMPZsGw,https://www.yelp.com/biz/bi-rite-creamery-san-francisco?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&hrid=ljntTVjfL2BQPaiLMPZsGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wceNtCMGBM6dgMGWxZsXyQ,"We love Bi-Rite Creamery, especially for their sundaes and banana splits.  We've had a number of their ice cream flavors and they have all been good.  The...",4,2022-09-23 12:09:34,"{'id': 'tctoFsg9byYvQ7OhdfzrvQ', 'profile_url': 'https://www.yelp.com/user_details?userid=tctoFsg9byYvQ7OhdfzrvQ', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/82V6JN1r6_S2RmHN7wqzUA/o.jpg', 'name': 'Paul O.'}",0.18846666666666667,love Bi Rite Creamery especially sundae banana split   number ice cream flavor good  
3,2fji5yUnZHTW-lZzoqaEqA,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco-6?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&hrid=2fji5yUnZHTW-lZzoqaEqA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wceNtCMGBM6dgMGWxZsXyQ,"Ah Brenda... you did not disappoint. 
Fried Chicken...ooo la La. 
Flaky buttery pillowy biscuits that are the perfect foil for homemade jam and hot pepper...",5,2022-10-09 09:33:09,"{'id': 'vdyw_IXcFpfj6RrpUesPgw', 'profile_url': 'https://www.yelp.com/user_details?userid=vdyw_IXcFpfj6RrpUesPgw', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/SKT9jtcR-hs6J1CZOjna9Q/o.jpg', 'name': 'Patrick H.'}",0.0734,"ah Brenda disappoint 
 Fried Chicken ooo la La. 
 Flaky buttery pillowy biscuit perfect foil homemade jam hot pepper"
4,KfHGYGVl5PQqLTt4GgZB1w,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco-6?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&hrid=KfHGYGVl5PQqLTt4GgZB1w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wceNtCMGBM6dgMGWxZsXyQ,"Service was horrible from our server, others accommodated everything we needed beyond placing our order. 

Drinks came out after our meals. The beignets...",3,2022-10-10 05:28:31,"{'id': 'WXoYGyHE5UrSC0YOd5e-7w', 'profile_url': 'https://www.yelp.com/user_details?userid=WXoYGyHE5UrSC0YOd5e-7w', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/7IudHnqJnNFcEjQAmjN38A/o.jpg', 'name': 'Billy P.'}",-0.09038333333333333,"service horrible server accommodate need place order 

 drink come meal beignet"
5,AhnceBkqRGKWPrUiTwbCOg,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco-6?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&hrid=AhnceBkqRGKWPrUiTwbCOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wceNtCMGBM6dgMGWxZsXyQ,"We arrived as a party of 6 at about 1pm. They had a waiting list, but let us in after just few minutes. The restaurant is very clean even-though it was very...",4,2022-10-09 16:18:23,"{'id': 'rvJfqw1qd0s_0V2-sqjR8A', 'profile_url': 'https://www.yelp.com/user_details?userid=rvJfqw1qd0s_0V2-sqjR8A', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/S6sho5B16Yi5J97ggKf4uQ/o.jpg', 'name': 'Roozbeh Z.'}",0.14325,arrive party 6 1 pm waiting list let minute restaurant clean
6,eC0QYbq3kJIlnswekVlvOg,https://www.yelp.com/biz/gary-danko-san-francisco?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&hrid=eC0QYbq3kJIlnswekVlvOg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wceNtCMGBM6dgMGWxZsXyQ,"It's been over 10 years since I've dined here but the total experience and stood out so much that when friends came to town and asked for a ""San Francisco...",5,2022-09-24 04:59:34,"{'id': '8Bx7StPmiE9EQQQJSQz-ww', 'profile_url': 'https://www.yelp.com/user_details?userid=8Bx7StPmiE9EQQQJSQz-ww', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/IytplDI5TB1Qi9SgDTw19Q/o.jpg', 'name': 'James T.'}",0.15775,10 year dine total experience stand friend come town ask San Francisco
7,GTh70ZNWEBT3gcqUi5qcew,https://www.yelp.com/biz/gary-danko-san-francisco?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&hrid=GTh70ZNWEBT3gcqUi5qcew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wceNtCMGBM6dgMGWxZsXyQ,"Pretty disappointed, mostly in the food. We've dined at the French laundry and other Michelin starred restaurants in CA and globally and it's quite shocking...",3,2022-09-25 18:59:40,"{'id': 'wvd7JQ_7ILvhdeNXoYOiZA', 'profile_url': 'https://www.yelp.com/user_details?userid=wvd7JQ_7ILvhdeNXoYOiZA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/F5yjnTMcjVKVEw7Uvv7_WA/o.jpg', 'name': 'Sophie L.'}",-0.08636,pretty disappoint food dine french laundry Michelin star restaurant globally shocking
8,rGwk222b3sekNGgeHxODvw,https://www.yelp.com/biz/gary-danko-san-francisco?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&hrid=rGwk222b3sekNGgeHxODvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wceNtCMGBM6dgMGWxZsXyQ,It's been a couple of year since I've been to Gary Danko. My girlfriend and I were staying at the Marriott across the street for Dreamforce and I decided to...,5,2022-09-23 15:53:10,"{'id': '67l719uPgWQ31H8yHwaYyQ', 'profile_url': 'https://www.yelp.com/user_details?userid=67l719uPgWQ31H8yHwaYyQ', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/ny4-hQ9YxT_yQNW_UuMpcw/o.jpg', 'name': 'Vincent T.'}",0.0,couple year Gary Danko girlfriend stay Marriott street Dreamforce decide
9,lqPlMfni5KEzvVh9Hrgt3w,https://www.yelp.com/biz/tartine-bakery-san-francisco-3?adjust_creative=wceNtCMGBM6dgMGWxZsXyQ&hrid=lqPlMfni5KEzvVh9Hrgt3w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wceNtCMGBM6dgMGWxZsXyQ,"I am not typically a fan of pastries, but this has to be one of my favorite bakeries. I got the almond lemon cake and banana cream tart which were both...",4,2022-09-15 06:35:39,"{'id': 'TLBZRWPYhYwlbLCSIa-RMg', 'profile_url': 'https://www.yelp.com/user_details?userid=TLBZRWPYhYwlbLCSIa-RMg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/7u7fUX9iv7p5aw-LGO5GJA/o.jpg', 'name': 'Adrian N.'}",0.10904,typically fan pastry favorite bakery get almond lemon cake banana cream tart
